group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
cgamp	GO:0019899	enzyme binding	1617	237	163.78	8e-11	2.8992e-07	MF
cgamp	GO:0044389	ubiquitin-like protein ligase binding	283	64	28.66	3.1e-10	5.6172e-07	MF
cgamp	GO:0005515	protein binding	4475	534	453.26	2.8e-09	3.3824e-06	MF
cgamp	GO:0031625	ubiquitin protein ligase binding	272	59	27.55	8.4e-09	7.6104e-06	MF
cgamp	GO:0140096	catalytic activity, acting on a protein	1577	222	159.73	1.8e-08	1.30464e-05	MF
cgamp	GO:0043130	ubiquitin binding	53	20	5.37	8.2e-08	4.9528e-05	MF
cgamp	GO:0019787	ubiquitin-like protein transferase activ...	344	66	34.84	1.7e-07	8.80114285714286e-05	MF
cgamp	GO:0004842	ubiquitin-protein transferase activity	331	63	33.53	4.4e-07	0.00019932	MF
cgamp	GO:0005043	netrin receptor activity involved in che...	8	7	0.81	7.8e-07	0.00031408	MF
cgamp	GO:0032182	ubiquitin-like protein binding	62	20	6.28	1.5e-06	0.0005436	MF
cgamp	GO:0004843	cysteine-type deubiquitinase activity	54	18	5.47	3e-06	0.000988363636363636	MF
cgamp	GO:0031593	polyubiquitin modification-dependent pro...	31	13	3.14	3.9e-06	0.0011778	MF
cgamp	GO:0061659	ubiquitin-like protein ligase activity	178	38	18.03	5.9e-06	0.00164473846153846	MF
cgamp	GO:0019783	ubiquitin-like protein peptidase activit...	73	21	7.39	6.6e-06	0.00170845714285714	MF
cgamp	GO:0140030	modification-dependent protein binding	87	23	8.81	1.2e-05	0.0028992	MF
cgamp	GO:0101005	deubiquitinase activity	66	19	6.69	1.8e-05	0.004077	MF
cgamp	GO:0030554	adenyl nucleotide binding	333	58	33.73	2.2e-05	0.00453	MF
cgamp	GO:0061630	ubiquitin protein ligase activity	175	36	17.73	2.4e-05	0.00453	MF
cgamp	GO:0004707	MAP kinase activity	8	6	0.81	2.5e-05	0.00453	MF
cgamp	GO:0046030	inositol trisphosphate phosphatase activ...	8	6	0.81	2.5e-05	0.00453	MF
cgamp	GO:0001784	phosphotyrosine residue binding	19	9	1.92	3.9e-05	0.00658909090909091	MF
cgamp	GO:0008234	cysteine-type peptidase activity	125	28	12.66	4e-05	0.00658909090909091	MF
cgamp	GO:0032559	adenyl ribonucleotide binding	326	56	33.02	4.6e-05	0.007248	MF
cgamp	GO:0005042	netrin receptor activity	12	7	1.22	5.4e-05	0.00811776	MF
cgamp	GO:0019900	kinase binding	541	83	54.8	5.6e-05	0.00811776	MF
cgamp	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.91	6.8e-05	0.00947815384615385	MF
cgamp	GO:0012505	endomembrane system	2686	348	267.75	1.5e-09	2.7345e-06	CC
cgamp	GO:0005783	endoplasmic reticulum	1193	175	118.92	2.3e-08	2.09645e-05	CC
cgamp	GO:0009898	cytoplasmic side of plasma membrane	152	38	15.15	6e-08	3.646e-05	CC
cgamp	GO:0031984	organelle subcompartment	970	146	96.69	8.5e-08	3.873875e-05	CC
cgamp	GO:0098562	cytoplasmic side of membrane	175	41	17.44	1.3e-07	4.5575e-05	CC
cgamp	GO:0048471	perinuclear region of cytoplasm	535	91	53.33	1.5e-07	4.5575e-05	CC
cgamp	GO:0031982	vesicle	1530	208	152.52	3.9e-07	0.000101567142857143	CC
cgamp	GO:0005737	cytoplasm	7030	761	700.79	9.8e-07	0.000202555555555556	CC
cgamp	GO:0005794	Golgi apparatus	1027	148	102.38	1e-06	0.000202555555555556	CC
cgamp	GO:0031410	cytoplasmic vesicle	1436	193	143.15	2.6e-06	0.000410175	CC
cgamp	GO:0005795	Golgi stack	117	29	11.66	2.6e-06	0.000410175	CC
cgamp	GO:0005790	smooth endoplasmic reticulum	35	14	3.49	2.7e-06	0.000410175	CC
cgamp	GO:0097708	intracellular vesicle	1442	193	143.75	3.5e-06	0.000490807692307692	CC
cgamp	GO:0043229	intracellular organelle	7081	761	705.87	6.1e-06	0.000794307142857143	CC
cgamp	GO:0031985	Golgi cisterna	86	23	8.57	7.3e-06	0.00087731875	CC
cgamp	GO:0005829	cytosol	3443	405	343.22	7.7e-06	0.00087731875	CC
