group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
up	GO:0005043	netrin receptor activity involved in che...	8	6	0.13	4e-10	1.4496e-06	MF
up	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.14	1.2e-09	2.1744e-06	MF
up	GO:0070403	NAD+ binding	24	8	0.38	2e-09	2.416e-06	MF
up	GO:0035438	cyclic-di-GMP binding	11	6	0.18	6.4e-09	5.7984e-06	MF
up	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	8	0.46	1.1e-08	7.852e-06	MF
up	GO:0005042	netrin receptor activity	12	6	0.19	1.3e-08	7.852e-06	MF
up	GO:0051287	NAD binding	43	8	0.69	3.1e-07	0.000160491428571429	MF
up	GO:0016763	pentosyltransferase activity	53	8	0.85	1.7e-06	0.0007701	MF
up	GO:0030551	cyclic nucleotide binding	28	6	0.45	4.2e-06	0.0016912	MF
up	GO:0004842	ubiquitin-protein transferase activity	331	18	5.28	4.7e-06	0.00170328	MF
up	GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	5	0.29	7e-06	0.002114	MF
up	GO:0140699	cyclic GMP-AMP synthase activity	18	5	0.29	7e-06	0.002114	MF
up	GO:0019787	ubiquitin-like protein transferase activ...	344	18	5.49	8.1e-06	0.00225803076923077	MF
up	GO:0032033	myosin II light chain binding	6	3	0.1	7.7e-05	0.0186032	MF
up	GO:0032038	myosin II heavy chain binding	6	3	0.1	7.7e-05	0.0186032	MF
up	GO:0051019	mitogen-activated protein kinase binding	30	5	0.48	9.9e-05	0.0224235	MF
up	GO:0044389	ubiquitin-like protein ligase binding	283	14	4.52	0.00016	0.0341082352941177	MF
up	GO:0005164	tumor necrosis factor receptor binding	34	5	0.54	0.00018	0.03624	MF
up	GO:0000166	nucleotide binding	602	22	9.61	2e-04	0.03624	MF
up	GO:1901265	nucleoside phosphate binding	603	22	9.62	2e-04	0.03624	MF
up	GO:0033256	I-kappaB/NF-kappaB complex	3	3	0.04	2.7e-06	0.0049221	CC
up	GO:0070090	metaphase plate	6	3	0.08	5.3e-05	0.0483095	CC
up	GO:0002831	regulation of response to biotic stimulu...	391	35	5.83	2.8e-18	4.14456e-14	BP
up	GO:0031347	regulation of defense response	482	38	7.19	5.9e-18	4.36659e-14	BP
up	GO:0098542	defense response to other organism	677	44	10.1	1.3e-17	6.4142e-14	BP
up	GO:0006952	defense response	915	50	13.65	5.7e-17	2.109285e-13	BP
up	GO:0045088	regulation of innate immune response	311	30	4.64	1.3e-16	3.84852e-13	BP
up	GO:0045087	innate immune response	484	35	7.22	2.3e-15	5.6741e-12	BP
up	GO:0002218	activation of innate immune response	119	18	1.77	1.2e-13	2.53748571428571e-10	BP
up	GO:0043207	response to external biotic stimulus	923	45	13.76	2.3e-13	3.78273333333333e-10	BP
up	GO:0051707	response to other organism	923	45	13.76	2.3e-13	3.78273333333333e-10	BP
up	GO:0009607	response to biotic stimulus	945	45	14.09	5.4e-13	7.99308e-10	BP
up	GO:0032101	regulation of response to external stimu...	814	41	12.14	1.3e-12	1.74932727272727e-09	BP
up	GO:0050776	regulation of immune response	521	32	7.77	4e-12	4.78218461538462e-09	BP
up	GO:0080134	regulation of response to stress	1043	46	15.55	4.2e-12	4.78218461538462e-09	BP
up	GO:0044419	biological process involved in interspec...	1108	47	16.52	9.1e-12	9.6213e-09	BP
up	GO:0043331	response to dsRNA	73	13	1.09	4.2e-11	4.14456e-08	BP
up	GO:0002697	regulation of immune effector process	244	21	3.64	6.9e-11	6.3833625e-08	BP
up	GO:1902216	positive regulation of interleukin-4-med...	18	8	0.27	7.8e-11	6.79150588235294e-08	BP
up	GO:0035771	interleukin-4-mediated signaling pathway	19	8	0.28	1.3e-10	1.01276842105263e-07	BP
up	GO:1902214	regulation of interleukin-4-mediated sig...	19	8	0.28	1.3e-10	1.01276842105263e-07	BP
up	GO:0060331	negative regulation of response to inter...	20	8	0.3	2.2e-10	1.55068571428571e-07	BP
up	GO:0060336	negative regulation of interferon-gamma-...	20	8	0.3	2.2e-10	1.55068571428571e-07	BP
up	GO:0071359	cellular response to dsRNA	68	12	1.01	2.7e-10	1.81660909090909e-07	BP
up	GO:0050691	regulation of defense response to virus ...	41	10	0.61	3e-10	1.93069565217391e-07	BP
up	GO:0002682	regulation of immune system process	849	38	12.66	3.7e-10	2.281975e-07	BP
up	GO:0070212	protein poly-ADP-ribosylation	22	8	0.33	5.4e-10	3.18812307692308e-07	BP
up	GO:0002833	positive regulation of response to bioti...	246	20	3.67	5.6e-10	3.18812307692308e-07	BP
up	GO:0050688	regulation of defense response to virus	90	13	1.34	6.5e-10	3.56344444444444e-07	BP
up	GO:0045089	positive regulation of innate immune res...	223	19	3.33	7.1e-10	3.72602068965517e-07	BP
up	GO:0031349	positive regulation of defense response	277	21	4.13	7.3e-10	3.72602068965517e-07	BP
up	GO:0002230	positive regulation of defense response ...	33	9	0.49	8.1e-10	3.99654e-07	BP
up	GO:0009615	response to virus	229	19	3.42	1.1e-09	5.25232258064516e-07	BP
up	GO:0032608	interferon-beta production	37	9	0.55	2.5e-09	1.15640625e-06	BP
up	GO:0002832	negative regulation of response to bioti...	101	13	1.51	2.8e-09	1.25592727272727e-06	BP
up	GO:0051607	defense response to virus	193	17	2.88	3.6e-09	1.52249142857143e-06	BP
up	GO:0140546	defense response to symbiont	193	17	2.88	3.6e-09	1.52249142857143e-06	BP
up	GO:0046426	negative regulation of receptor signalin...	53	10	0.79	4.5e-09	1.80024324324324e-06	BP
up	GO:1904893	negative regulation of receptor signalin...	53	10	0.79	4.5e-09	1.80024324324324e-06	BP
up	GO:0051173	positive regulation of nitrogen compound...	2045	61	30.5	6.7e-09	2.60982631578947e-06	BP
up	GO:0042531	positive regulation of tyrosine phosphor...	42	9	0.63	8.3e-09	3.071415e-06	BP
up	GO:0071353	cellular response to interleukin-4	42	9	0.63	8.3e-09	3.071415e-06	BP
up	GO:0002253	activation of immune response	261	19	3.89	9.9e-09	3.36409090909091e-06	BP
up	GO:0032479	regulation of type I interferon producti...	92	12	1.37	1e-08	3.36409090909091e-06	BP
up	GO:0032606	type I interferon production	92	12	1.37	1e-08	3.36409090909091e-06	BP
up	GO:0070670	response to interleukin-4	43	9	0.64	1e-08	3.36409090909091e-06	BP
up	GO:0009605	response to external stimulus	2122	62	31.65	1.1e-08	3.61826666666667e-06	BP
up	GO:0043330	response to exogenous dsRNA	31	8	0.46	1.2e-08	3.86139130434783e-06	BP
up	GO:0042532	negative regulation of tyrosine phosphor...	32	8	0.48	1.6e-08	4.83330612244898e-06	BP
up	GO:0001961	positive regulation of cytokine-mediated...	45	9	0.67	1.6e-08	4.83330612244898e-06	BP
up	GO:0031325	positive regulation of cellular metaboli...	2144	62	31.97	1.6e-08	4.83330612244898e-06	BP
up	GO:0006955	immune response	1032	39	15.39	2.6e-08	7.69704e-06	BP
up	GO:0010604	positive regulation of macromolecule met...	2281	64	34.02	2.7e-08	7.83635294117647e-06	BP
up	GO:0060760	positive regulation of response to cytok...	49	9	0.73	3.5e-08	9.96288461538462e-06	BP
up	GO:0031348	negative regulation of defense response	149	14	2.22	4.2e-08	1.17298867924528e-05	BP
up	GO:0060759	regulation of response to cytokine stimu...	105	12	1.57	4.6e-08	1.26091111111111e-05	BP
up	GO:0001819	positive regulation of cytokine producti...	177	15	2.64	5.4e-08	1.45328727272727e-05	BP
up	GO:0001816	cytokine production	357	21	5.32	6.6e-08	1.74452142857143e-05	BP
up	GO:0050732	negative regulation of peptidyl-tyrosine...	53	9	0.79	7.2e-08	1.86972631578947e-05	BP
up	GO:0032103	positive regulation of response to exter...	428	23	6.38	7.7e-08	1.96509310344828e-05	BP
up	GO:0002376	immune system process	1656	51	24.7	8.7e-08	2.18266779661017e-05	BP
up	GO:0071360	cellular response to exogenous dsRNA	27	7	0.4	9.8e-08	2.3128125e-05	BP
up	GO:0042509	regulation of tyrosine phosphorylation o...	55	9	0.82	1e-07	2.3128125e-05	BP
up	GO:0006471	protein ADP-ribosylation	40	8	0.6	1e-07	2.3128125e-05	BP
up	GO:0060330	regulation of response to interferon-gam...	40	8	0.6	1e-07	2.3128125e-05	BP
up	GO:0060334	regulation of interferon-gamma-mediated ...	40	8	0.6	1e-07	2.3128125e-05	BP
up	GO:0035458	cellular response to interferon-beta	17	6	0.25	1.1e-07	2.43017910447761e-05	BP
up	GO:0038007	netrin-activated signaling pathway	17	6	0.25	1.1e-07	2.43017910447761e-05	BP
up	GO:0010468	regulation of gene expression	2705	70	40.34	1.1e-07	2.43017910447761e-05	BP
up	GO:0007260	tyrosine phosphorylation of STAT protein	56	9	0.84	1.2e-07	2.61211764705882e-05	BP
up	GO:0060333	interferon-gamma-mediated signaling path...	57	9	0.85	1.4e-07	3.00330434782609e-05	BP
up	GO:0035666	TRIF-dependent toll-like receptor signal...	10	5	0.15	1.6e-07	3.38331428571429e-05	BP
up	GO:0046427	positive regulation of receptor signalin...	59	9	0.88	1.9e-07	3.90608333333333e-05	BP
up	GO:1904894	positive regulation of receptor signalin...	59	9	0.88	1.9e-07	3.90608333333333e-05	BP
up	GO:0050778	positive regulation of immune response	382	21	5.7	2.1e-07	4.2581095890411e-05	BP
up	GO:0045824	negative regulation of innate immune res...	60	9	0.89	2.2e-07	4.4005945945946e-05	BP
up	GO:0032481	positive regulation of type I interferon...	44	8	0.66	2.3e-07	4.53928e-05	BP
up	GO:0001959	regulation of cytokine-mediated signalin...	100	11	1.49	2.5e-07	4.86907894736842e-05	BP
up	GO:0009893	positive regulation of metabolic process	2420	64	36.09	2.8e-07	5.31353846153846e-05	BP
up	GO:0001817	regulation of cytokine production	322	19	4.8	2.8e-07	5.31353846153846e-05	BP
up	GO:0019221	cytokine-mediated signaling pathway	292	18	4.35	3.1e-07	5.80837974683544e-05	BP
up	GO:0060761	negative regulation of response to cytok...	63	9	0.94	3.4e-07	6.13741463414634e-05	BP
up	GO:0046425	regulation of receptor signaling pathway...	103	11	1.54	3.4e-07	6.13741463414634e-05	BP
up	GO:1904892	regulation of receptor signaling pathway...	103	11	1.54	3.4e-07	6.13741463414634e-05	BP
up	GO:0065007	biological regulation	6797	127	101.36	3.8e-07	6.77681927710843e-05	BP
up	GO:0007259	receptor signaling pathway via JAK-STAT	109	11	1.63	6.1e-07	0.000106226117647059	BP
up	GO:0097696	receptor signaling pathway via STAT	109	11	1.63	6.1e-07	0.000106226117647059	BP
up	GO:0071345	cellular response to cytokine stimulus	558	25	8.32	6.4e-07	0.000110154418604651	BP
up	GO:0002756	MyD88-independent toll-like receptor sig...	13	5	0.19	8e-07	0.000136110344827586	BP
up	GO:0050789	regulation of biological process	6269	120	93.49	8.1e-07	0.000136245681818182	BP
up	GO:0002224	toll-like receptor signaling pathway	113	11	1.69	8.8e-07	0.000146356853932584	BP
up	GO:0002758	innate immune response-activating signal...	91	10	1.36	9.1e-07	0.000149664666666667	BP
up	GO:0045944	positive regulation of transcription by ...	779	30	11.62	1e-06	0.000162659340659341	BP
up	GO:0034097	response to cytokine	616	26	9.19	1.2e-06	0.000193069565217391	BP
up	GO:0060255	regulation of macromolecule metabolic pr...	3576	81	53.33	1.9e-06	0.000302406451612903	BP
up	GO:0050777	negative regulation of immune response	104	10	1.55	3.1e-06	0.000488151063829787	BP
up	GO:0001960	negative regulation of cytokine-mediated...	62	8	0.92	3.5e-06	0.000545336842105263	BP
up	GO:0010118	stomatal movement	17	5	0.25	3.7e-06	0.000564612371134021	BP
up	GO:0010119	regulation of stomatal movement	17	5	0.25	3.7e-06	0.000564612371134021	BP
up	GO:0007166	cell surface receptor signaling pathway	1769	49	26.38	4.4e-06	0.000664579591836735	BP
up	GO:0002683	negative regulation of immune system pro...	250	15	3.73	4.5e-06	0.000672818181818182	BP
up	GO:0048518	positive regulation of biological proces...	3837	84	57.22	4.6e-06	0.000680892	BP
up	GO:0033209	tumor necrosis factor-mediated signaling...	46	7	0.69	4.7e-06	0.00068880594059406	BP
up	GO:0071346	cellular response to interferon-gamma	88	9	1.31	6e-06	0.000862252427184466	BP
up	GO:0051171	regulation of nitrogen compound metaboli...	3290	75	49.06	6e-06	0.000862252427184466	BP
up	GO:0006355	regulation of transcription, DNA-templat...	1844	50	27.5	6.3e-06	0.000896659615384615	BP
up	GO:0051090	regulation of DNA-binding transcription ...	291	16	4.34	6.5e-06	0.000916314285714286	BP
up	GO:0002221	pattern recognition receptor signaling p...	141	11	2.1	7.8e-06	0.00108920377358491	BP
up	GO:0007432	salivary gland boundary specification	33	6	0.49	7.9e-06	0.00109285794392523	BP
up	GO:0045893	positive regulation of transcription, DN...	1002	33	14.94	8.6e-06	0.00117867777777778	BP
up	GO:0050794	regulation of cellular process	5924	113	88.35	8.8e-06	0.00119502385321101	BP
up	GO:0002684	positive regulation of immune system pro...	524	22	7.81	9.4e-06	0.0012535027027027	BP
up	GO:1903506	regulation of nucleic acid-templated tra...	1870	50	27.89	9.4e-06	0.0012535027027027	BP
up	GO:2001141	regulation of RNA biosynthetic process	1873	50	27.93	9.9e-06	0.00130839107142857	BP
up	GO:0032102	negative regulation of response to exter...	268	15	4	1e-05	0.00130991150442478	BP
