TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001101"	"response to acid chemical"	-1.8552337054881072	4.147367107793786	0.04666726921815421	0.9675045360928942	0.37423424	6.042353567343606	-0.6111626285674896	null
"GO:0001579"	"medium-chain fatty acid transport"	-1.653588341070939	2.089905111439398	0.0004055421927925645	0.8595519629490185	0.49070342	-6.301334629608846	-1.797746614072985	null
"GO:0006082"	"organic acid metabolic process"	-2.412144036254151	6.425699657789944	8.858816568712161	0.803725471979127	0.61451074	0.2836207506094303	-6.288283643564444	null
"GO:0006735"	"NADH regeneration"	-1.653588341070939	2.699837725867246	0.0016620581671826415	0.9854578173890721	0.01644452	-5.293931776908219	-6.4436206945042604	null
"GO:0006855"	"xenobiotic transmembrane transport"	-4.102680872190358	2.6273658565927325	0.0014061012094365149	0.9207774370641245	0.16089611	-5.495609376481617	4.262204898368039	null
"GO:0009435"	"NAD biosynthetic process"	-2.8422687188051534	4.856190974512409	0.238704793970771	0.7167396324804476	0.02288405	1.1455293228467183	-6.164898638784094	null
"GO:0019359"	"nicotinamide nucleotide biosynthetic process"	-2.1914074343837977	4.93981866282138	0.2893942439535072	0.712701581078164	0.97858808	null	null	9435
"GO:0019362"	"pyridine nucleotide metabolic process"	-2.0685616882593503	5.2303237243365786	0.5649335710253799	0.7118023984404976	0.95488633	null	null	9435
"GO:0019363"	"pyridine nucleotide biosynthetic process"	-2.1914074343837977	4.945822966613664	0.29342307295075787	0.7143386450721706	0.92033787	null	null	9435
"GO:0019674"	"NAD metabolic process"	-2.81369149474249	4.977933844352629	0.31594063699974834	0.7198994205871287	0.87397446	null	null	9435
"GO:0046496"	"nicotinamide nucleotide metabolic process"	-2.0685616882593503	5.227218044771187	0.5609080661444635	0.7073417591065576	0.94088249	null	null	9435
"GO:0072525"	"pyridine-containing compound biosynthetic process"	-2.021565127669545	5.096433765224406	0.41505581374151795	0.7618857412744283	0.87994389	null	null	9435
"GO:0009725"	"response to hormone"	-1.7047408635183203	5.144611564667994	0.463750793923635	0.9565309584634077	0.67072034	5.859797437828077	-0.2412405254012278	null
"GO:0015695"	"organic cation transport"	-1.4968022366771854	4.404440279679319	0.08435277610085343	0.8750823360161141	0.2563848	-6.535453559095876	0.07749417747583506	null
"GO:0015747"	"urate transport"	-2.592318682787792	2.481442628502305	0.0010038831329783155	0.8682161819257788	0.37066891	-6.5717911935902045	-1.2997236459769195	null
"GO:0030207"	"chondroitin sulfate catabolic process"	-2.1914074343837977	2.1702617153949575	0.0004886451011516966	0.9384061597487892	0.08902702	4.606123511393394	3.310102377606848	null
"GO:0035270"	"endocrine system development"	-2.1914074343837977	3.8341026557127935	0.02268376986570869	0.8525375162834409	0.37535554	-0.16495262529390828	6.554615112465984	null
"GO:0035461"	"vitamin transmembrane transport"	-4.102680872190358	4.503259402590862	0.10590634641287791	0.899435254579481	0.21497394	-5.220696761132085	2.512694578733805	null
"GO:0042445"	"hormone metabolic process"	-2.9265896131346767	4.591632159568537	0.1298067428569643	0.9029338394079994	-0	5.497750606408093	-3.7330062491448097	null
"GO:0006590"	"thyroid hormone generation"	-1.3859821005418245	3.1728946977521764	0.004946285105535541	0.8205759064570834	0.75248371	null	null	42445
