TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0003950"	"NAD+ ADP-ribosyltransferase activity"	-2.0606005692836185	4.308201460651076	0.05559508838229996	0.9144497593038268	-0	3.5970558642504082	-6.469367335570943	null
"GO:0004111"	"creatine kinase activity"	-1.4786003718846243	3.711807229041191	0.014079240118063273	0.9206484644301985	0.14857199	5.770516457321804	-0.8017428780709832	null
"GO:0004842"	"ubiquitin-protein transferase activity"	-1.3786639044061646	5.312771670607999	0.5618571100135252	0.8817611967387101	0.19177928	4.33822981722902	-3.6061362996587527	null
"GO:0005043"	"netrin receptor activity involved in chemorepulsion"	-4.501292558376606	1.6532125137753437	0.00012031201499218957	0.8820338476752119	0	3.8048816907237373	4.649526451999016	null
"GO:0005042"	"netrin receptor activity"	-2.8905834579401306	3.5272431163880884	0.0092038691469025	0.8820338476752119	0.79083458	null	null	5043
"GO:0019787"	"ubiquitin-like protein transferase activity"	-1.4786003718846243	5.339747495422129	0.597863214863915	0.8814568156623223	0.38138489	5.395841815204506	-4.080869429903539	null
"GO:0031625"	"ubiquitin protein ligase binding"	-1.4786003718846243	4.492439087788779	0.08497309495221098	0.863539742806895	0.02547495	-4.83681178451192	3.0250272609431677	null
"GO:0044389"	"ubiquitin-like protein ligase binding"	-1.4786003718846243	4.507032359632107	0.0878769894958861	0.8634502570238352	0.71344053	null	null	31625
"GO:0032559"	"adenyl ribonucleotide binding"	-1.4786003718846243	6.703491193605424	13.81489001184964	0.7427468101921075	0.38573519	-4.430168723984654	-4.890296005577082	null
"GO:0030554"	"adenyl nucleotide binding"	-1.4786003718846243	6.745207090646936	15.20769299086263	0.7508181718675034	0.75802552	null	null	32559
"GO:0061507"	"2',3'-cyclic GMP-AMP binding"	-2.7138130830589624	2.187520720836463	0.00041835768849556824	0.7999693111293179	-0	-5.261507173829571	-2.6735957178300205	null
"GO:0035438"	"cyclic-di-GMP binding"	-2.1452447110327455	4.192316504702737	0.04257404712337254	0.7659937360062031	0.72315752	null	null	61507
"GO:0070403"	"NAD+ binding"	-1.917933065714887	4.826826065375873	0.1835168383227455	0.8243381570504851	0.17093444	-3.8193090913480727	-6.068958754556711	null
"GO:0140096"	"catalytic activity, acting on a protein"	-1.3564909251542023	6.604577019955573	11.001027136484357	0.9755489357153571	0.03543247	-0.7888105808887997	4.9137504381866535	null
